,no,author,content,true-author
0,00001,candidate00001, Hi Thanks for the invitation - the day sounds great. and will be there with bells and whistles (I have a friend coming in for the weekend so I won't be able to make it but thrilled that and are in the same class again). Talk to you soon. ,candidate00001
1,00002,candidate00001, yes positively- this day has been horrible - I'll call you on Wed ,candidate00001
2,00003,candidate00001, Here is the form of PG&E letter that we used after consultation with LaBoeuf - it has a few more words. ,candidate00001
3,00004,candidate00001, Hi Sorry I can't play - Tuesday is my husband's league night. Thanks though - I really enjoyed hitting on Sat and meeting your team. Talk to you soon. ,candidate00001
4,00005,candidate00001," I agree that Netco will also need to use WSPP and we should anticipate responding accordingly. For general conversation, though I still think we should recommend EEI. As we open up for contracting, I think , and I will be able to quickly identify those Caps who will only use WASP. ",candidate00001
5,00006,candidate00001," Great - go ahead and overnight to my home (I'm assuming email is unavailable?). Check it for early delivery and tell carrier service to leave on porch if nobody is home. My home address is 822 Columbia Street, Tx., 77007. Thanks ",candidate00001
6,00007,candidate00001, Here is the slightly revised TVA Confirmation Call with any questions. ,candidate00001
7,00008,candidate00001," So much wasted time and energy and the well is running dry at the same time the animosity towards and marketers seems only to be increasing. I like the proposal to merge the discussions but... You will recall at the WSPP meeting in Colorado I asked Small if he wouldn't consider merging the discussions/ contracting groups. After a long winded story about the personal pain he has and will continue to suffer ('s name came up a lot), he said he did not think it would ever work. I'm all for trying to forge this single contract approach and I think EEI members, drafting committee and all, would relish it as well. What do you think is the next best step? ps - the meeting in San on the 1st is still unclear for based employees. Terrorists Halloween scares have made everyone unlikely willing to fly. We are trying to get to allow a videoconference but so far no commitment that this is OK. Lets talk about this also. Hoping not to stay the course, again. Talk to you soon. ",candidate00001
8,00009,candidate00001," Thanks again for lunch. It's always great to talk things over with you. As promised, here are drafts of agreements. ",candidate00001
9,00010,candidate00001, I think I am already scheduled to be there but I will be. Thanks ,candidate00001
10,00011,candidate00001, Hi Received your email but I don't have any particular knowledge in this area. I would assume but without any knowledge that an English judgment would be enforceable in the US ( I would assume that we give English law guarantees all the time for ISDA and other trading contracts which would have to be enforced against in the US) Maybe in London or Abrams ( corp attorney who works on guarantees ) would be able to help. Good luck. ,candidate00001
11,00012,candidate00001, Must be popular - racquets not due in now to TW until the 25th at the earliest. What's a girl to do. ,candidate00001
12,00013,candidate00001," I enjoyed mine. I played who plays alot of doubles also (she kept coming into net) . The score was 6-3, 6-3. Talk to you soon. ",candidate00001
13,00014,candidate00001, thanks for the message - definitely pays expenses. I will call later to confirm time and possible training session (and also HR update) ,candidate00001
14,00015,candidate00001, Thanks for the note - I had alot of fun on Sat. too. I'll call you later to talk about camps - I was kind of thinking of doing a 1/2 day camp at the MET but... The teachers name for swimming at the H is ... just call the regular number and ask for swimming and then leave message for her. She will call you back. ,candidate00001
15,00016,candidate00001, fyi - is trying to put together a meeting today at 200 w LLLG to begin discussions - she will be in touch with you thanks ,candidate00001
16,00017,candidate00001," Thanks for the feed back - it may not have been the same Johnston (she said that her had an ""e"" at the end of his name) ",candidate00001
17,00018,candidate00001," As we discussed, EWS's documentation group is having a difficult time securing signed confirms for deals between EPMI/ENA and EES. There are currently 361 physical confirmation letters outstanding with EES. Some of these have been outstanding since November 2000. There are 24 financial confirmation letters outstanding with EES. Some of these have been outstanding since March 2001. The documentation group is under alot of pressure to secure signatures on all written confirms that are set up for signature. Accordingly, it would be very helpful if you could help us resolve this situation. Please don't hesitate to call if we can be of any help. Thanks in advance for your assistance. ",candidate00001
18,00019,candidate00001," Thanks for the message - I also had a great time. As you can imagine, things are really busy right now but lets try in the next couple of weeks to go hit. Talk to you soon. ",candidate00001
19,00020,candidate00001, intercompany trades do not necessarily terminate upon bankruptcy - the parties don't have to perform but for valuation purposes the market positions are not terminated until notice is sent. I've been talking to and others to help determine when we should get the trades officially terminated. This issue needs to be addressed soon. ,candidate00001
20,00021,candidate00001," As was discussed at the meeting, we would like to participate in the process of creating/presenting a long form of Collateral Annex. Thanks ",candidate00001
21,00022,candidate00001," Oh no. In the meanwhile, learned to tie her shoes. Unbelievalbe , but she just did it, just like that. I talked to her about having Ms help her learn and she put me to shame. misses you. I want to book the Broadmoor - it looks great, 3 days tennis, 1/2 day Friday, Sat and Sun, August 10, 11, 12. Dede is booked, and I have a call in for you and me. You'll come, right? I miss you. I signed up for a little mixed doubles on Friday night, 630 -830. Do you want me to sign you up? Everybody is fine. ",candidate00001
22,00023,candidate00001, Hi I have rad all documents and have a few comments - will stop by as soon as I get in in am. Great job. ,candidate00001
23,00024,candidate00001, Hi Just checking in to see about lunch? tennis? I brought tennis stuff and could play today or Friday morning. Talk to you soon. ,candidate00001
24,00025,candidate00001, Just in case I forgot earlier - good luck (materials I promise are on the way DOWN to you) ,candidate00001
25,00026,candidate00001, Here are the files I received. will be working with to file the proof of claim on Wed. I'm looking at this am. fyi - we are likely going to move the negative ctc claim back to EES and EEMC. That decision is also being made today. Thanks for your help - I'll let you know what date to calculate the receivable from after I hear final confirmation from . ,candidate00001
26,00027,candidate00001," Thanks again for the Sunday tennis - you're right, it is really fun. Talk to you soon. ",candidate00001
27,00028,candidate00001, thanks-it was settled about 6 months ago. talk to you soon ,candidate00001
28,00029,candidate00001, I am not an HTA member. Can you fax me a form at 713 853 6349 and I'll send it in. Thanks ,candidate00001
29,00030,candidate00001, leslie can you call brent for me - I'm leaving for dc in a few minutes thanks ,candidate00001
30,00031,candidate00001, Yuck - The hearing just got cancelled (I was on the way to the airport when notified) and rescheduled for Tuesday. Right now I'm scheduled to come up on Monday instead. I'll call you when I know more. ,candidate00001
31,00032,candidate00001, I looked O up in the directory and he was listed as an EES VP in origination. He told me Taylor told him to call me to get information. Sound OK? Thanks ,candidate00001
32,00033,candidate00001, I think I goofed my first message so ...good luck tonight and we will see you there (for a short while) ,candidate00001
33,00034,candidate00001, just testing my new computer skills - this lap top is small. good luck tonight - we will ,candidate00001
34,00035,candidate00001, I got the package - I just found out that is out so I'm trying to get to sign. email you when done. Thanks ,candidate00001
35,00036,candidate00001," Hi Thanks for the invite - Unfortunately (likely for me only ... I haven't hit a golf ball since the last time I played with you), I will not be able to make it on the 17th- maybe next time. Thanks again. Elizaabeth Sager ",candidate00001
